#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW
2016-01-01,1,5716,0,3434,8289,4675,0,710,0,2040,1756,26,870,104
2016-01-01,2,6670,0,3583,8292,4334,38,659,0,2025,1756,24,882,26
2016-01-01,3,6985,0,3865,8297,3994,0,643,0,1944,1756,76,874,36
2016-01-01,4,6839,0,3772,8285,3615,0,642,0,1982,1756,0,886,64
2016-01-01,5,6775,0,3555,8279,3031,0,642,0,2043,1756,0,880,20
2016-01-01,6,6897,0,3323,8276,2585,0,642,0,2040,1756,0,866,2
2016-01-01,7,7340,0,3099,8266,2361,0,665,0,2033,1756,0,868,0
2016-01-01,8,6927,0,3229,8254,2210,0,862,0,2036,1756,0,884,0
2016-01-01,9,6510,0,3302,8236,2067,0,934,0,2030,1756,0,886,0
2016-01-01,10,6137,0,3328,8230,1967,0,960,0,2043,1756,0,872,0
2016-01-01,11,6038,0,3217,8216,1852,0,960,0,2044,1756,0,864,0
2016-01-01,12,5833,0,3350,8216,1861,0,961,0,2044,1756,0,870,62
2016-01-01,13,5864,0,3521,8226,2081,0,939,0,2034,1754,0,860,92
2016-01-01,14,6000,0,3499,8224,2151,0,895,0,1987,1682,0,880,152
2016-01-01,15,6443,0,3683,8224,2182,0,1021,0,2029,324,12,820,246
2016-01-01,16,6202,0,3709,8220,2287,0,981,0,2030,206,12,800,288
2016-01-01,17,5756,0,3470,8224,2409,150,966,0,2000,976,62,776,288
2016-01-01,18,6102,0,3574,8224,2528,342,953,0,2025,960,114,790,288
2016-01-01,19,6196,0,3637,8223,2609,346,925,0,2040,1984,32,986,288
2016-01-01,20,7008,0,3676,8225,2830,404,902,0,1994,1996,52,964,286
2016-01-01,21,7931,0,3731,8224,2938,476,688,0,2031,1996,164,966,244
2016-01-01,22,8457,0,4032,8230,3157,478,757,0,2041,1996,116,966,108
2016-01-01,23,8931,0,4314,8231,3372,406,903,0,2039,1996,34,976,32
2016-01-01,24,9310,0,4529,8232,3574,370,925,0,2043,1996,0,1002,18
2016-01-01,25,9591,0,4892,8232,3508,548,998,0,2033,1996,0,1020,0
2016-01-01,26,9576,0,5160,8234,3621,584,1009,0,2043,1996,0,986,0
2016-01-01,27,9451,0,4907,8239,3981,626,1029,0,2043,1996,0,966,0
2016-01-01,28,9317,0,4526,8236,4333,644,1036,0,1983,1996,0,986,0
2016-01-01,29,9528,0,4107,8232,4524,636,984,0,2037,1996,0,992,0
2016-01-01,30,9221,0,4307,8236,4700,612,819,0,2043,1996,70,1000,0
2016-01-01,31,9379,0,4481,8234,4866,494,781,0,2043,1996,96,980,0
2016-01-01,32,9924,0,4512,8237,5047,332,766,0,2043,1996,94,984,0
2016-01-01,33,11316,0,4684,8237,5259,476,691,0,2041,1996,0,956,0
2016-01-01,34,11970,0,4720,8236,5543,762,692,0,2042,1996,0,1002,0
2016-01-01,35,12421,0,4835,8237,5585,556,707,0,2042,1996,0,998,0
2016-01-01,36,12195,0,4768,8231,5501,680,741,0,2026,1996,0,1004,0
2016-01-01,37,11932,0,4693,8231,5468,344,742,0,2031,1996,0,996,0
2016-01-01,38,11213,0,4578,8233,5356,376,734,0,2037,1996,0,1016,0
2016-01-01,39,10189,0,4229,8237,5355,694,728,0,2043,1996,0,1006,0
2016-01-01,40,9541,0,3901,8233,5168,718,727,0,2034,1996,60,992,0
2016-01-01,41,9228,0,3546,8228,5027,480,726,0,2039,1996,84,998,0
2016-01-01,42,8215,0,3321,8227,4915,668,726,0,2041,1996,134,1014,0
2016-01-01,43,7474,0,3229,8231,4782,454,703,0,2040,1996,130,1000,0
2016-01-01,44,6423,0,3111,8229,4877,348,720,0,2040,1996,146,1004,0
2016-01-01,45,5293,0,2958,8233,4688,334,719,0,2041,1996,190,988,0
2016-01-01,46,4642,0,2644,8225,4580,270,709,0,2042,1996,144,1006,0
2016-01-01,47,4581,0,2370,8163,4577,118,711,0,1963,1484,68,734,26
2016-01-01,48,4017,0,2231,8075,4581,8,710,0,1957,1476,38,706,0
2016-01-02,1,4206,0,2059,8055,4603,0,693,0,1715,1476,34,708,0
2016-01-02,2,4348,0,2030,7984,4662,0,694,0,1739,1476,106,722,0
2016-01-02,3,4410,0,2063,7957,4718,0,692,0,1921,1476,124,700,0
2016-01-02,4,4069,0,2024,7939,4654,0,689,0,1922,1476,124,718,0
2016-01-02,5,3895,0,2046,7830,4557,0,680,0,1844,1476,90,728,0
2016-01-02,6,3784,0,2056,7801,4554,0,670,0,1985,1476,0,710,0
2016-01-02,7,3548,0,2027,7797,4747,0,658,0,2030,1476,0,720,0
2016-01-02,8,3337,0,1693,7798,5126,0,650,0,1722,1476,0,716,0
2016-01-02,9,3516,0,1667,7793,5189,0,650,0,1212,1476,0,748,0
2016-01-02,10,3474,0,1692,7793,5235,0,649,0,1157,1476,0,740,0
2016-01-02,11,3512,0,1921,7791,5142,0,648,0,1190,1476,0,720,0
2016-01-02,12,3518,0,1946,7792,5239,0,649,0,1266,1476,0,722,0
2016-01-02,13,3592,0,1854,7791,5239,0,649,0,1241,1476,0,740,0
2016-01-02,14,3477,0,2107,7789,5133,0,649,0,1611,1476,24,746,0
2016-01-02,15,4261,0,2466,7787,5071,0,654,0,1817,1476,0,706,0
2016-01-02,16,4357,0,2828,7791,4999,0,654,0,2036,1476,0,674,0
2016-01-02,17,5480,0,3052,7795,5009,96,654,0,2035,1478,0,720,0
2016-01-02,18,6447,0,3494,7795,4843,364,656,0,2038,1466,0,762,0
2016-01-02,19,7459,0,3734,7798,4689,330,668,0,2009,1988,0,968,0
2016-01-02,20,8448,0,3839,7790,4735,330,680,0,2034,1996,42,970,0
2016-01-02,21,9403,0,3909,7790,4804,336,745,0,2034,1996,0,972,0
2016-01-02,22,10043,0,3968,7792,4871,334,794,0,2036,1996,0,982,0
2016-01-02,23,10357,0,4085,7787,4867,372,1005,0,2041,1996,0,1012,0
2016-01-02,24,11132,0,3933,7782,4674,456,1036,0,2041,1996,0,1042,0
2016-01-02,25,11630,0,4110,7785,4461,642,1052,0,2039,1996,0,1008,0
2016-01-02,26,11774,0,4190,7780,4432,496,1059,0,2040,1996,0,1008,0
2016-01-02,27,12225,0,4044,7785,4196,420,1058,0,2038,1996,0,998,0
2016-01-02,28,12364,0,3945,7787,4095,386,1058,0,2030,1996,0,974,0
2016-01-02,29,12650,0,3747,7780,4053,366,1060,0,2037,1996,0,996,0
2016-01-02,30,12934,0,3641,7782,3871,348,1062,0,2040,1996,22,1002,0
2016-01-02,31,12909,0,4056,7777,3777,388,1063,0,2036,1996,48,1018,0
