#Settlement Date,Settlement Period,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW,BIOMASS,INTNEM
2020-01-01,1,7912,0,670,6953,5004,0,672,3,130,1704,0,854,0,2353,854
2020-01-01,2,8420,0,670,6949,5043,0,669,3,123,1704,0,852,0,2358,854
2020-01-01,3,8037,0,670,6952,5030,0,662,3,122,1704,0,852,0,2356,854
2020-01-01,4,7499,0,670,6948,4825,0,591,3,122,1704,0,852,0,2343,854
2020-01-01,5,7020,0,669,6954,4689,0,548,3,121,1704,0,852,0,2356,854
2020-01-01,6,6841,0,670,6953,4633,0,546,4,121,1704,0,852,0,2351,854
2020-01-01,7,7343,0,670,6947,4469,0,527,5,122,1704,0,204,0,2360,854
2020-01-01,8,6995,0,670,6950,4352,0,429,2,122,1704,0,174,0,2339,854
2020-01-01,9,6902,0,670,6956,4530,0,440,3,123,1704,0,102,0,2345,0
2020-01-01,10,6709,0,671,6962,4813,0,438,3,123,1704,0,102,0,2341,0
2020-01-01,11,6080,0,670,6960,4973,0,475,3,123,1700,0,322,0,2359,182
2020-01-01,12,6284,0,670,6957,4854,0,479,3,124,1700,0,336,0,2365,184
2020-01-01,13,6220,0,670,6963,4899,0,486,3,124,1704,14,592,0,2271,818
2020-01-01,14,6577,0,669,6960,4782,0,493,4,125,1704,0,598,0,2244,840
2020-01-01,15,6594,0,670,6955,4586,0,534,4,128,1704,0,788,0,2334,854
2020-01-01,16,6820,0,670,6964,4433,0,535,4,123,1704,14,792,0,2345,854
2020-01-01,17,6894,0,865,6959,4352,0,665,3,123,1704,14,852,0,2318,854
2020-01-01,18,7265,0,1114,6953,4264,0,754,4,124,1704,14,852,0,2331,854
2020-01-01,19,8683,0,1196,6957,3987,0,793,3,123,1704,0,854,18,2340,854
2020-01-01,20,9537,0,1264,6957,3973,0,847,3,124,1704,62,854,118,2334,854
2020-01-01,21,10203,0,1370,6960,4197,0,853,3,122,1802,72,902,24,2359,902
2020-01-01,22,10393,0,1425,6956,4516,0,824,3,125,1802,68,904,82,2355,902
2020-01-01,23,10552,0,1324,6955,4717,0,845,3,125,1958,78,978,134,2362,980
2020-01-01,24,11371,0,1305,6948,4951,0,778,3,149,1960,68,980,122,2366,980
2020-01-01,25,12290,0,1451,6955,4953,4,773,3,133,2000,0,1000,10,2365,1000
2020-01-01,26,12504,0,1519,6952,4972,0,786,3,126,2000,20,1000,0,2365,1000
2020-01-01,27,12582,0,1551,6961,5073,0,783,3,124,2000,74,1000,26,2361,1000
2020-01-01,28,12208,0,1601,6968,5414,0,806,3,123,2000,44,1000,104,2358,1000
2020-01-01,29,11984,0,1485,6961,5788,0,840,3,123,2000,82,1000,252,2360,1000
2020-01-01,30,11991,0,1429,6964,6073,0,841,2,123,2000,82,1000,220,2362,1000
2020-01-01,31,12103,0,1441,6961,6204,38,934,2,130,2000,82,956,358,2297,972
2020-01-01,32,12252,0,1542,6967,6480,30,953,2,121,2000,82,954,484,2290,972
2020-01-01,33,12667,0,1537,6964,6821,102,957,2,134,2000,82,1000,504,2343,1020
2020-01-01,34,12501,0,1492,6957,7112,1138,971,3,141,2000,82,1000,504,2359,1020
2020-01-01,35,12623,0,1519,6956,7064,1546,992,2,213,2000,82,980,504,2361,968
2020-01-01,36,12413,0,1576,6962,7171,1424,993,2,197,2000,82,978,504,2361,936
2020-01-01,37,12616,0,1611,6961,7324,1002,965,2,188,2000,82,896,504,2363,130
2020-01-01,38,12313,0,1619,6959,7639,316,961,3,174,2000,82,894,504,2361,100
2020-01-01,39,11551,0,1609,6965,7923,282,961,2,133,2000,82,726,504,2362,128
2020-01-01,40,10517,0,1621,6957,8048,226,904,2,149,2000,82,722,504,2362,128
2020-01-01,41,9855,0,1523,6959,7889,32,741,2,152,2000,82,834,504,2361,342
2020-01-01,42,8932,0,1357,6960,7958,10,549,2,140,2000,82,836,504,2363,334
2020-01-01,43,8261,0,1384,6968,8196,0,443,2,121,1902,82,948,504,2338,0
2020-01-01,44,7068,0,1225,6964,7948,0,439,3,121,1892,82,950,504,2193,0
